Gender,Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total,20 years,388,409,346,363,273,277,265,289,280,297,271,258,255
Total,21 years,390,357,390,385,312,279,275,307,240,266,282,259,262
Total,22 years,362,395,367,384,358,284,254,287,322,260,277,288,269
Total,23 years,389,352,381,400,378,352,371,314,292,269,274,253,307
Total,24 years,396,383,360,392,375,346,345,338,313,325,319,292,285
Total,25 years,404,401,378,358,376,384,368,359,334,300,321,308,299
Total,26 years,453,429,421,364,371,392,340,378,364,342,324,292,311
Total,27 years,455,460,482,413,379,349,377,425,405,347,363,343,318
Total,28 years,420,451,438,409,394,402,397,421,401,399,404,397,331
Total,29 years,449,454,492,488,416,424,390,482,428,446,424,405,408
Total,30 years,460,473,434,473,433,478,416,461,468,489,480,444,448
Total,31 years,494,520,457,513,450,479,499,556,496,509,486,532,488
Total,32 years,494,535,526,509,516,518,509,563,549,495,496,560,512
Total,33 years,517,465,560,581,508,541,545,580,533,593,591,542,572
Total,34 years,561,596,584,532,544,575,577,628,644,627,584,557,587
Total,35 years,645,610,606,519,566,622,609,685,666,637,621,644,671
Total,36 years,751,666,671,604,607,606,650,677,688,689,696,746,722
Total,37 years,894,838,724,683,640,647,612,704,722,782,742,816,842
Total,38 years,1055,988,923,794,724,733,775,737,835,819,867,782,839
Total,39 years,1232,1117,1104,964,812,856,771,810,806,825,907,911,987
Total,40 years,1466,1363,1206,1163,1010,942,822,908,993,890,917,921,1005
Total,41 years,1650,1555,1472,1259,1256,1096,1011,993,984,925,1066,1088,1100
Total,42 years,1861,1679,1733,1560,1443,1329,1251,1151,1092,993,1098,1049,1107
Total,43 years,2133,2088,1941,1895,1674,1586,1478,1408,1206,1153,1185,1154,1255
Total,44 years,2366,2351,2270,2071,2020,1858,1669,1623,1577,1353,1281,1223,1336
Total,45 years,2682,2693,2516,2366,2284,2186,2029,1945,1826,1697,1531,1371,1397
Total,46 years,3088,2945,2774,2717,2579,2579,2324,2272,2078,2016,1816,1601,1538
Total,47 years,3323,3292,3276,3132,2986,2861,2703,2679,2506,2228,2163,2043,1708
Total,48 years,3509,3605,3432,3406,3313,3236,3055,3019,2987,2723,2523,2358,2331
Total,49 years,3909,3879,3895,3761,3728,3688,3542,3494,3395,3088,3027,2767,2730
Total,50 years,4111,4080,4097,4115,4093,3935,3988,3936,3744,3461,3494,3237,3055
Total,51 years,4291,4510,4637,4566,4369,4561,4372,4307,4199,4038,4038,3718,3609
Total,52 years,4781,4686,4756,4852,4885,4889,4747,4902,4753,4518,4449,4265,4048
Total,53 years,5011,5038,5108,5107,5018,5370,5270,5337,5172,5115,5065,4829,4719
Total,54 years,5350,5461,5520,5372,5483,5645,5615,5731,5724,5750,5608,5366,5377
Total,55 years,5620,5784,5826,5870,5720,5988,5739,6216,6240,6042,6311,6015,6130
Total,56 years,6098,6046,6219,6061,6088,6298,6179,6526,6618,6696,6738,6592,6723
Total,57 years,6516,6603,6498,6486,6619,6681,6658,6879,6998,7028,7418,7172,7171
Total,58 years,7120,7105,7024,7092,6866,7261,7060,7400,7651,7487,7740,7488,7973
Total,59 years,7226,7642,7377,7627,7492,7592,7660,7919,7926,7820,8245,8285,8526
Total,60 years,7359,7907,8232,8212,8079,8095,8041,8448,8494,8392,8742,8613,9110
Total,61 years,7561,7643,8362,8802,8553,8667,8573,8845,8696,9191,9237,9090,9660
Total,62 years,6603,7969,8147,8706,9177,9175,9199,9439,9404,9458,9880,9836,10061
Total,63 years,8224,6720,8559,8478,9346,9920,9620,10168,9988,10011,10472,10474,10807
Total,64 years,10020,8665,7287,9004,9292,10256,10426,10858,10876,10639,11253,10953,11298
Total,65 years,10394,10735,9137,7620,9558,9944,10630,11512,11608,11440,11582,11520,12120
Total,66 years,12663,11020,11537,9728,8043,10396,10465,11634,12169,12089,12624,12394,12514
Total,67 years,14515,13430,11840,11892,10164,8816,10565,11678,12523,12869,13185,13145,13141
Total,68 years,16679,15682,14116,12475,12735,11330,8909,11777,11963,13386,13979,13713,14389
Total,69 years,17256,17893,16509,14861,13153,13675,11314,10055,12540,12946,14290,14732,15360
Total,70 years,17331,18324,19037,17264,15889,14280,14204,12948,10789,13372,13926,15012,15993
Total,71 years,18058,18390,19472,19721,18457,17116,14785,15891,13492,11512,14379,14654,16417
Total,72 years,19345,19484,19392,20389,21283,19934,17657,16295,16507,14399,12322,14968,15890
Total,73 years,20996,20465,20677,20336,21634,22904,20751,19765,17094,18027,15490,12848,16481
Total,74 years,19302,21954,21949,21677,21755,23334,23406,22934,20584,18278,19320,16408,13947
Total,75 years,18926,20324,23542,23117,23158,23666,24311,26419,24084,22187,19958,20193,17763
Total,76 years,21018,19938,21674,24647,24256,25153,24840,27333,27432,26040,24148,20713,22261
Total,77 years,23832,22463,21290,22711,26370,26451,25625,27278,28327,29595,27771,25117,22971
Total,78 years,26273,25415,23817,22286,24032,28423,27082,28650,28904,30481,32127,29348,27710
Total,79 years,27644,27461,26764,24372,23693,26032,29146,30285,30020,30929,33296,33694,32524
