Year,Country,Age Range,Gender,deaths_by_year_gender_age,deaths_by_year_age,population_by_gender_year_age
2019,Germany,15 - 19,Female,266.0,874.0,1910589
2019,Germany,20 - 24,Female,360.0,1350.0,2192097
2019,Germany,25 - 29,Female,518.0,1745.0,2467945
2019,Germany,30 - 34,Female,882.0,2635.0,2645203
2019,Germany,35 - 39,Female,1408.0,3899.0,2595094
2019,Germany,40 - 44,Female,1866.0,5435.0,2420438
2019,Germany,45 - 49,Female,3586.0,10140.0,2698361
2019,Germany,5 - 9,Female,120.0,290.0,1796096
2019,Germany,50 - 54,Female,7744.0,21415.0,3366096
2019,Germany,55 - 59,Female,12535.0,35552.0,3333730
2019,Germany,60 - 64,Female,17314.0,48966.0,2833255
2019,Germany,65 - 69,Female,23974.0,65504.0,2531686
2019,Germany,70 - 74,Female,29120.0,73890.0,1936238
2019,Germany,75 - 79,Female,55041.0,129065.0,2204583
2019,Germany,80 - 84,Female,88671.0,181439.0,1874234
2019,Germany,85 - over,Female,228796.0,354055.0,1566443
2019,Germany,0 - 4,Male,1660.0,2952.0,2022905
2019,Germany,10 - 14,Male,172.0,314.0,1904792
2019,Germany,15 - 19,Male,608.0,874.0,2060774
2019,Germany,20 - 24,Male,990.0,1350.0,2415756
2019,Germany,25 - 29,Male,1227.0,1745.0,2665961
2019,Germany,30 - 34,Male,1753.0,2635.0,2807174
2019,Germany,35 - 39,Male,2491.0,3899.0,2668220
2019,Germany,40 - 44,Male,3569.0,5435.0,2454947
2019,Germany,45 - 49,Male,6554.0,10140.0,2730580
2019,Germany,5 - 9,Male,170.0,290.0,1898511
2019,Germany,50 - 54,Male,13671.0,21415.0,3426998
2019,Germany,55 - 59,Male,23017.0,35552.0,3334034
2019,Germany,60 - 64,Male,31652.0,48966.0,2737590
2019,Germany,65 - 69,Male,41530.0,65504.0,2302082
2019,Germany,70 - 74,Male,44770.0,73890.0,1699084
2019,Germany,75 - 79,Male,74024.0,129065.0,1778321
2019,Germany,80 - 84,Male,92768.0,181439.0,1328709
2019,Germany,85 - over,Male,125259.0,354055.0,765739
2020,Germany,0 - 4,Female,1292.0,2780.0,1931362
2020,Germany,10 - 14,Female,117.0,271.0,1803374
2020,Germany,15 - 19,Female,236.0,799.0,1882844
2020,Germany,20 - 24,Female,360.0,1378.0,2184103
2020,Germany,25 - 29,Female,514.0,1667.0,2399312
2020,Germany,30 - 34,Female,854.0,2607.0,2684804
2020,Germany,35 - 39,Female,1357.0,4061.0,2604047
2020,Germany,40 - 44,Female,2006.0,5803.0,2470887
2020,Germany,45 - 49,Female,3525.0,9704.0,2567001
2020,Germany,5 - 9,Female,100.0,255.0,1825764
2020,Germany,50 - 54,Female,7262.0,20808.0,3274280
2020,Germany,55 - 59,Female,12627.0,36523.0,3385056
2020,Germany,60 - 64,Female,17761.0,50936.0,2909949
2020,Germany,65 - 69,Female,24371.0,67524.0,2555912
2020,Germany,70 - 74,Female,30764.0,78728.0,2034687
2020,Germany,75 - 79,Female,52556.0,123229.0,2030195
2020,Germany,80 - 84,Female,93875.0,194795.0,1961089
2020,Germany,85 - over,Female,243198.0,383704.0,1624163
2020,Germany,0 - 4,Male,1488.0,2780.0,2033898
2020,Germany,10 - 14,Male,154.0,271.0,1910631
2020,Germany,15 - 19,Male,563.0,799.0,2015167
2020,Germany,20 - 24,Male,1018.0,1378.0,2405361
2020,Germany,25 - 29,Male,1153.0,1667.0,2594396
2020,Germany,30 - 34,Male,1753.0,2607.0,2853603
2020,Germany,35 - 39,Male,2704.0,4061.0,2685998
2020,Germany,40 - 44,Male,3797.0,5803.0,2501073
2020,Germany,45 - 49,Male,6179.0,9704.0,2587611
2020,Germany,5 - 9,Male,155.0,255.0,1929508
2020,Germany,50 - 54,Male,13546.0,20808.0,3324452
